Area,Perimiter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
0.462768615692154,0.5406293732213625,0.5113080019970846,0.48028117278771143,0.7380236561000828,0.46992774848662366,0.11955210776833147,1
0.48995502248875566,0.5546513177635612,0.5266439903346447,0.5018267045790468,0.7319282374235767,0.49257957430189425,0.8030478664758718,1
0.6108945527236382,0.6847200469024173,0.6706758734827745,0.5408782936368188,0.8031889058951664,0.6252685022456551,0.11846507543445672,0
0.6465767116441781,0.6930382177888548,0.667717650292259,0.5960663753801003,0.7600591728537038,0.6466510447178285,0.26694831752133763,0
0.6711644177911045,0.6232875906382207,0.47549504332072545,0.8292972098503291,0.37205244417625405,0.6803358719000195,0.4211352655181293,1
0.263368315842079,0.2932197960848366,0.24135780552754005,0.41271263141680037,0.5520969248613454,0.27523921109158367,0.28253675406484824,1
0.8174912543728137,0.9501125716545322,0.9514699406788776,0.5924817539694449,0.9244915012724553,0.8162468267916424,0.0,0
0.31744127936031985,0.35884566806995566,0.36007766108785044,0.39081426494959337,0.6921342769426868,0.326108181995704,0.8509936511328156,1
0.31304347826086953,0.30499723665109735,0.21500123625876166,0.5189041472026046,0.3974467827119623,0.3158562780706894,0.4569625594345572,1
0.5120439780109947,0.5237079152784625,0.4409264285724357,0.6234873649263126,0.5460294254838036,0.5111306385471587,0.3155313365317505,1
0.4470764617691154,0.4374426320663043,0.3214560038182337,0.6384011918622892,0.39473411239652556,0.4547939855496973,0.3592304132171267,1
0.6327836081959022,0.6851478019619173,0.6257700992230555,0.6015073494079792,0.725807553826197,0.6296621753563757,0.18628900602277954,0
0.45897051474262884,0.4427766735481191,0.43546166640562967,0.5332396980769096,0.6274197286510326,0.4480570201132591,0.27567071311434943,1
0.24507746126936536,0.296789953253499,0.26756337655861007,0.361840733414164,0.6334030314529455,0.25825034173013084,0.2998988087724883,1
0.3334332833583209,0.35444111504120923,0.24834008356183168,0.5336244674485777,0.42347618678229626,0.34866237063073624,0.4558414145514065,1
0.8207896051974013,0.8248394025299441,0.7764359167036081,0.7271838350839781,0.7366444947778312,0.8140988088264011,0.21965808985163893,0
0.18570714642678665,0.17357110291888111,0.1892719172714179,0.30831687866554613,0.6082998566316116,0.18394844756883422,0.4675316962995111,1
0.1487256371814093,0.13128881367766776,0.1544637023241653,0.2817108268347541,0.5993721124390694,0.1441124780316344,0.8049149303766705,1
0.32923538230884564,0.37196455672479556,0.36620406420419394,0.38802006934355493,0.7000839385730515,0.3270845537980863,0.24129679157440598,1
0.7451274362818592,0.8129193236023415,0.7383206443660197,0.6864550726555474,0.7407403117002742,0.767037687951572,0.5597653476700124,0
0.4037981009495253,0.3873279493555739,0.29151330743800363,0.5881365700750627,0.41480193197979975,0.4059753954305799,0.5774164458067332,1
0.3750124937531234,0.39627985485520045,0.4060078322669769,0.4253050681539441,0.70041454619715,0.3676039835969537,0.8757310606067064,1
0.3169415292353823,0.285081333795304,0.2665533908339037,0.4674957472608552,0.5206470502375851,0.31370826010544806,0.7587169983460131,1
0.5660169915042479,0.6435098844756133,0.6335178502904901,0.49638693898518005,0.8117887042769336,0.564440538957235,0.2208138921837901,0
0.7792103948025988,0.8761790053720377,0.8906254967029643,0.5770554191048678,0.9042087365456961,0.771138449521578,0.188991982631592,0
0.3377311344327836,0.2984008836970393,0.20750733344344097,0.5775251173365841,0.31379584163938734,0.3455379808631126,0.7393757460712242,1
0.7794102948525738,0.8697094958834659,0.8826587817693674,0.5832792235189403,0.8963893699339902,0.7731888303065807,0.15849008505330686,0
0.2860569715142429,0.27117027674194394,0.20864915578680487,0.4853176985903991,0.42961725778786963,0.289982425307557,0.22468918249966685,1
